TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20010530,13.546,1,478.608,46.063,1,383.788,0,0.175,1,96.957,1,12.573,1,6.571,1,0.381909091,0.916666667,-9999,0,116.3631579,0.791666667,96.19166667,1,5.4445,0.75,-9999,0,-9999,0,350.175,1,17.358,0.125,-9999,-9999,-44.1748,0,18.2337,1,20.1222,-9999,-9999,2.53038,0.977444,1,1.07868,-9999,-9999,1.7907,1.14013,1,0.1588,1.04008,1.12531,1.14699,1,1,1,1.66233,1.63447,1.66454,1.68461,0.561182,0.484069,0.55797,0.641749,1.24618,1.35094,1.57445,2.02279,0,0,0,0.196167,-9999,-9999
20010531,12.88,1,479.483,189.757,1,341.608,0,1.762,1,97.079,1,0.254,1,4.902,1,0.264125,1,-9999,0,535.9705882,0.708333333,299.775,1,25.14123529,0.708333333,-9999,0,-9999,0,366.613,1,20.888,0.625,-9999,-9999,-1.98604,0.416667,90.3612,1,100.138,-9999,-9999,3.05018,17.3458,1,19.2226,-9999,-9999,3.67423,1.03691,1,0.164272,0.989338,1.04169,1.28218,1,1,1,1.59051,1.58004,1.6034,1.62339,0.5973,0.338444,0.56342,0.5973,1.19014,1.29542,1.49445,2.02564,0,0,0,0.329607,-9999,-9999
20010601,17.136,1,480.317,339.836,1,318,0,8.121,1,96.433,1,0.508,1,6.251,1,0.356777778,0.75,-9999,0,858.5736842,0.791666667,142.85,1,45.855,0.833333333,-9999,0,-9999,0,365.067,1,22.13,0.708333,-9999,-9999,28.9337,0.541667,128.442,1,142.796,-9999,-9999,12.8432,32.9656,0.958333,36.6499,-9999,-9999,3.56436,1.6505,0.958333,0.16311,1.57024,1.63929,1.68339,0.958333,1,1,1.93593,1.93559,1.94963,1.98082,0.389741,0.267537,0.303306,0.365345,1.53858,1.65199,1.7737,2.32606,0,0,0,0.174199,-9999,-9999
20010602,16.536,1,481.111,367.244,1,310.773,0,8.208,1,96.676,0.958333,0,1,3.859,1,0.228083333,1,-9999,0,927.8210526,0.791666667,141.0291667,1,79.735,0.833333333,-9999,0,-9999,0,370.483,1,22.973,0.791667,-9999,-9999,31.4412,0.791667,62.6792,1,69.8423,-9999,-9999,3.74802,71.5167,1,79.6898,-9999,-9999,4.16052,1.43683,0.833333,0.165333,1.36923,1.37799,1.42088,0.916667,0.916667,0.916667,1.84219,1.84174,1.88201,1.99151,0.453161,0.453161,0.463102,0.516892,1.48912,1.55257,1.62907,1.8628,0,0,0,0.0968906,-9999,-9999
20010603,15.674,1,481.863,235.133,1,352.295,0,4.763,1,96.644,1,4.064,1,5.415,1,0.337875,1,-9999,-9999,540.1285714,0.875,284.9583333,1,39.635,0.833333333,-9999,-9999,-9999,-9999,364.308,1,19.999,0.875,-9999,-9999,7.21789,0.958333,113.301,1,126.535,-9999,-9999,8.60739,31.4958,1,35.1747,-9999,-9999,3.3622,1.88104,1,0.157032,1.83132,1.88104,1.88887,1,1,1,1.77897,1.77176,1.81032,1.97981,-0.11447,-0.0808895,-0.0660214,0.11095,1.41831,1.41344,1.44848,1.49187,0,0,0,0.051224,-9999,-9999
20010604,13.697,1,482.574,54.826,1,365.127,0,1.867,1,96.673,1,4.318,1,6.468,1,0.397666667,1,-9999,0,146.3833333,0.75,111.4416667,1,11.65294118,0.708333333,-9999,0,-9999,0,353.217,1,18.38,0.875,-9999,-9999,-34.0824,0.875,33.5298,1,37.4463,-9999,-9999,3.15981,5.23045,1,5.84139,-9999,-9999,2.3683,0.968695,1,0.168472,0.922077,0.951083,0.968695,1,1,1,1.70419,1.69309,1.73319,1.98575,0.716177,0.765566,0.784755,1.02149,1.38237,1.22555,1.34578,1.41649,0.114413,0.148087,0.18209,0.239399,-9999,-9999
20010605,15.816,1,483.245,119.315,1,372.683,0,1.225,1,96.981,1,5.08,1,2.85,1,0.191458333,1,-9999,0,318.1722222,0.75,224.6041667,1,14.74123529,0.708333333,-9999,0,-9999,0,354.921,1,18.473,0.833333,-9999,-9999,-10.5687,0.833333,53.9898,1,60.2843,-9999,-9999,3.95035,7.59583,1,8.48141,-9999,-9999,2.22123,1.00667,0.916667,0.167367,0.501257,0.930289,1.04436,0.875,0.916667,0.958333,1.98804,1.98559,2.02187,2.3906,0.885787,0.904008,1.14371,1.9363,1.97748,1.54536,1.81097,2.11081,0.529351,0.561436,0.726767,0.868033,-9999,-9999
20010606,17.153,1,483.874,182.427,1,367.616,0,2.388,1,97.348,1,0,1,1.61,1,0.12026087,0.958333333,-9999,0,515.1,0.708333333,324.15,1,25.1125,0.666666667,-9999,0,-9999,0,381.717,1,21.521,0.833333,-9999,-9999,0.939277,0.75,70.0958,1,78.2226,-9999,-9999,6.08452,22.9667,1,25.6294,-9999,-9999,2.66682,0.343856,0.666667,0.178063,-0.302089,0.0791294,0.354755,0.833333,0.875,0.75,2.22926,2.21749,2.26871,2.75995,2.5667,2.16741,2.31842,2.54448,2.43839,1.92702,2.16015,2.4726,0.92633,0.975978,1.12435,1.27158,-9999,-9999
20010607,20.935,1,484.462,315.198,1,351.925,0,9.908,1,97.579,1,0,1,3.583,1,0.230166667,0.75,-9999,0,840.5666667,0.75,245.7208333,1,57.83333333,0.75,-9999,0,-9999,0,382.983,1,21.497,1,-9999,-9999,21.8417,1,104.026,0.958333,116.221,-9999,-9999,7.32072,32.1278,0.958333,35.8297,-9999,-9999,4.09633,1.63544,0.75,0.166089,1.3462,1.42057,1.51106,0.916667,0.916667,0.875,2.72549,2.72294,2.76748,3.43688,1.05443,1.2186,1.39738,1.95695,3.16037,2.70082,2.81423,2.99619,1.90654,1.78646,1.94982,2.1157,-9999,-9999
20010608,21.645,1,485.009,360.172,1,351.393,0,11.971,1,97.584,1,0,1,1.68,1,0.151625,1,-9999,0,960.5055556,0.75,168.7416667,1,70.54290476,0.875,-9999,0,-9999,0,395.983,1,25.158,1,-9999,-9999,35.3917,1,62.9167,1,70.2612,-9999,-9999,8.09586,68.1069,1,75.9205,-9999,-9999,6.2304,0.587215,0.75,0.189881,0.366547,0.564839,1.31233,0.958333,0.708333,1,2.93327,2.93271,2.98367,3.78942,2.58698,1.6018,2.86477,3.24577,3.03347,2.81051,2.91964,3.0723,2.83298,2.24351,2.80493,2.87489,-9999,-9999
